name,shape,numel,layer,kind
model.layers.38.self_attn.q_proj.weight,5120x5120,26214400,38,attn.q_proj
model.layers.38.self_attn.k_proj.weight,5120x5120,26214400,38,attn.k_proj
model.layers.38.self_attn.v_proj.weight,5120x5120,26214400,38,attn.v_proj
model.layers.38.self_attn.o_proj.weight,5120x5120,26214400,38,attn.o_proj
model.layers.38.mlp.gate_proj.weight,13824x5120,70778880,38,mlp.gate_proj
model.layers.38.mlp.up_proj.weight,13824x5120,70778880,38,mlp.up_proj
model.layers.38.mlp.down_proj.weight,5120x13824,70778880,38,mlp.down_proj
model.layers.38.input_layernorm.weight,5120,5120,38,pre_attn_norm
model.layers.38.post_attention_layernorm.weight,5120,5120,38,post_attn_norm
model.layers.39.self_attn.q_proj.weight,5120x5120,26214400,39,attn.q_proj
model.layers.39.self_attn.k_proj.weight,5120x5120,26214400,39,attn.k_proj
model.layers.39.self_attn.v_proj.weight,5120x5120,26214400,39,attn.v_proj
